state_province	trend_80_22	low_ci	high_ci	center_latitude
Alaska	-3.12	-5.04	-1.3	64.8
Alberta	0.3	-0.6	1.15	55
British Columbia	-2.26	-3.14	-1.43	54
Saskatchewan	1.02	-0.07	2.08	54
Manitoba	-1.17	-2.09	-0.2	55
Ontario	-3.03	-3.71	-2.34	50
Québec	-2.46	-3.64	-1.3	52
New Brunswick	-2.78	-3.65	-1.91	46.5
Nova Scotia	-1.54	-2.46	-0.62	45
Maine	-4.33	-5.28	-3.4	45.3
New Hampshire	-3.57	-4.45	-2.69	43.7
Vermont	-3.81	-5.03	-2.6	44
Massachusetts	-0.17	-0.84	1.29	42.4
Prince Edward Island	-2.64	-5.86	-0.02	46.5
Rhode Island	0.02	-2.92	3.45	41.7
Connecticut	1.2	-0.3	2.7	41.6
New York	-1.06	-1.77	-0.4	42.9
New Jersey	1.61	-0.1	3.34	40.1
Pennsylvania	1.69	0.93	2.45	41
Delaware	6.37	3.61	9.51	39
Maryland	5.31	4.09	6.51	39
West Virginia	9.46	7.36	11.9	38.6
Virginia	7.92	5.95	10.03	37.5
Ohio	5.82	3.95	7.82	40.3
Kentucky	12.1	9.14	15.95	37.5
Indiana	6	4.13	7.92	39.9
Michigan	-2.08	-2.95	-1.27	44.3
Wisconsin	-1.92	-2.54	-1.33	44.6
North Carolina	5.7	3	8.8	35.6
Tennessee	17.69	13.47	22.04	35.9
South Carolina	-1.97	-10.82	6.06	33.8
Georgia	9.45	5.64	14.12	32.7
Alabama	9.66	5.92	13.62	32.8
Arkansas	4.06	0.81	7.85	34.9
Illinois	2.4	1.09	3.72	40
Missouri	6.94	4.3	9.97	38.5
Iowa	5.68	3.2	8.19	42
Minnesota	-0.17	-1.02	0.69	46.3
Nebraska	9.04	6.2	12.15	41.5
South Dakota	4.85	2.87	6.85	44.4
North Dakota	5.37	4.05	6.76	47.5
Montana	1.5	0.55	2.44	47
Wyoming	0.48	-0.84	1.71	43
Colorado	-1.48	-2.73	-0.31	39
Utah	-1.87	-4.73	0.59	39.4
California	0.67	-0.07	1.41	37.2
Idaho	0.12	-1.74	1.72	44.2
Oregon	-0.89	-1.71	-0.1	43.9
Washington	-1.17	-2.13	-0.23	47.4
